BHK,Rent,Living Area,Area Type,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Postal Code
2,10000,1100,0,2,1,2,0,700001
2,20000,800,0,1,1,1,0,700001
2,17000,1000,0,1,1,1,0,700001
2,10000,800,0,2,1,1,0,700001
2,7500,850,1,2,0,1,0,700001
2,7000,600,0,2,1,2,0,700001
2,10000,700,0,2,0,2,1,700001
1,5000,250,0,2,0,1,1,700001
2,26000,800,1,2,0,2,1,700001
2,10000,1000,1,1,1,2,0,700001
3,25000,1200,1,1,1,2,1,700001
1,5000,400,1,2,1,1,1,700001
1,6500,250,1,0,0,1,0,700001
1,5500,375,1,2,1,1,1,700001
3,8500,900,1,2,0,2,0,700001
3,40000,1286,1,0,1,2,0,700001
2,6000,600,0,1,1,1,0,700001
2,10000,800,0,2,1,1,0,700001
2,11000,2000,1,2,1,1,0,700001
2,6000,660,0,2,1,1,0,700001
2,7900,650,1,2,2,1,0,700001
2,9000,400,1,2,0,2,0,700001
1,4000,300,1,2,1,1,0,700001
3,6500,1600,0,2,1,1,0,700001
1,8000,400,0,1,0,1,1,700001
2,7000,1000,0,2,1,1,0,700001
1,5300,355,1,1,1,1,1,700001
2,6000,1000,0,1,1,1,0,700001
2,8500,800,0,2,1,1,0,700001
2,12500,850,0,2,1,2,0,700001
1,7500,350,1,2,1,1,0,700001
2,15000,900,1,2,1,2,0,700001
2,6000,550,0,1,1,1,0,700001
2,5000,500,1,2,1,2,0,700001
3,22000,1100,1,2,1,1,0,700001
2,15000,850,1,1,1,1,0,700001
2,12500,800,1,2,0,1,1,700001
2,7000,630,1,2,0,1,0,700001
2,21000,900,1,1,0,2,0,700001
1,10000,270,1,1,1,1,0,700001
2,7200,630,1,1,1,1,0,700001
3,12000,1500,1,0,0,2,0,700001
1,5000,600,0,2,1,1,0,700001
2,8500,700,1,1,1,1,0,700001
1,6000,300,0,1,1,1,0,700001
2,10000,1300,0,1,2,2,0,700001
2,4600,400,1,1,0,1,0,700001
2,12000,650,0,2,2,2,0,700001
3,30000,2000,0,1,1,2,0,700001
3,15000,1068,0,1,1,2,0,700001
1,7500,150,0,0,1,1,0,700001
1,7500,450,1,2,0,1,0,700001
2,5000,800,1,2,1,1,0,700001
2,15000,1000,0,2,1,2,0,700001
2,11000,900,0,1,0,1,0,700001
1,7000,600,1,2,1,1,0,700001
2,6000,1200,0,2,1,1,0,700001
2,6000,1200,0,1,0,2,0,700001
2,7000,650,0,1,1,2,0,700001
2,8500,720,1,1,1,2,0,700001
1,5000,300,1,2,0,1,0,700001
3,30000,1200,1,2,1,3,1,700001
2,10000,700,1,2,1,2,0,700001
3,30000,2000,0,1,1,2,0,700001
1,3500,250,0,1,1,1,0,700001
2,8000,1100,1,2,0,1,0,700001
1,5000,300,1,2,1,1,0,700001
2,7500,600,0,1,1,1,0,700001
2,6500,800,1,2,1,1,0,700001
1,7500,680,0,2,1,1,0,700001
1,7500,680,0,2,1,1,0,700001
2,16000,850,1,1,0,1,1,700001
2,16000,850,1,1,0,1,1,700001
2,6500,700,0,2,0,1,0,700001
3,40000,1500,0,2,1,2,0,700001
2,12500,950,0,1,1,2,0,700001
2,5500,500,0,2,1,1,0,700001
1,5000,450,1,1,1,1,0,700001
2,6500,700,0,2,0,1,0,700001
1,8000,500,0,2,1,1,0,700001
3,14500,1800,0,1,1,2,0,700001
1,8200,500,1,1,1,1,0,700001
2,15000,480,1,0,1,2,0,700001
6,20000,1000,0,1,1,2,0,700001
2,6700,800,0,0,1,1,0,700001
1,10000,435,0,2,1,1,0,700001
2,7000,700,1,1,1,2,1,700001
2,22000,800,0,0,1,1,1,700001
2,6500,450,0,2,1,1,0,700001
2,8500,550,1,1,1,1,1,700001
2,18000,800,1,2,0,2,1,700001
2,12000,550,1,1,2,2,0,700001
1,9000,600,0,0,1,1,0,700001
1,6000,500,0,2,1,1,0,700001
2,20000,1000,0,0,1,2,0,700001
1,5000,300,1,2,1,1,0,700001
2,12000,1200,0,0,1,2,0,700001
2,10000,500,1,1,1,1,0,700001
4,18000,1200,0,2,2,2,0,700001
2,15000,900,1,1,1,2,1,700001
3,22000,1300,1,2,1,3,1,700001
4,35000,1600,1,2,1,3,1,700001
3,21000,1450,0,2,2,2,0,700001
2,25000,1100,0,0,0,2,1,700001
2,180000,950,1,2,1,2,0,700001
1,6000,600,1,2,1,1,0,700001
2,14000,700,1,2,1,2,0,700001
3,8000,750,0,2,2,1,0,700001
2,8000,1000,0,2,1,1,0,700001
1,6000,220,0,0,1,1,0,700001
1,8000,300,1,1,0,1,1,700001
1,6000,300,1,2,1,1,1,700001
1,20000,700,0,1,1,1,0,700001
3,12000,800,0,2,1,2,0,700001
3,15000,1600,0,2,1,2,0,700001
2,14000,1000,1,2,1,2,0,700001
1,5000,20,0,2,1,1,0,700001
2,7000,400,1,2,1,1,0,700001
1,3900,200,0,0,1,1,0,700001
3,14000,840,1,2,0,2,0,700001
1,6300,300,1,2,1,1,1,700001
2,13000,550,1,0,1,2,1,700001
1,6800,300,1,2,1,1,1,700001
2,8000,800,0,2,1,2,0,700001
2,10000,740,1,2,0,1,0,700001
2,18000,1300,0,2,1,2,0,700001
2,8000,650,0,1,1,1,0,700001
2,8000,490,0,1,1,1,0,700001
1,4700,250,0,0,1,1,0,700001
1,4700,250,0,0,1,1,0,700001
1,4500,450,0,2,1,1,0,700001
1,6000,300,1,1,1,1,0,700001
2,16000,750,0,2,1,2,0,700001
1,4700,250,0,0,1,1,0,700001
2,14000,751,1,2,0,1,0,700001
2,9000,900,1,1,0,1,0,700001
2,5000,400,1,1,1,1,0,700001
2,17500,1000,1,1,1,2,1,700001
2,8500,1000,1,2,1,1,0,700001
3,15000,1500,1,1,2,2,0,700001
2,12500,750,1,2,1,2,0,700001
1,13000,1200,0,1,1,1,0,700001
2,8000,700,0,2,1,1,0,700001
2,8000,700,1,0,1,1,0,700001
2,8000,1000,0,1,1,1,0,700001
2,7000,1200,0,2,1,2,0,700001
2,2200,550,0,0,1,1,0,700001
2,8000,800,1,2,0,1,0,700001
2,5500,280,0,2,0,1,0,700001
3,20000,1100,0,2,1,3,0,700001
2,7000,950,0,2,1,1,1,700001
1,3500,250,0,0,1,1,0,700001
2,5000,1000,1,2,0,1,0,700001
3,20000,1000,1,1,1,2,0,700001
2,7000,650,0,2,1,1,0,700001
2,10000,700,0,2,1,2,0,700001
2,7000,700,1,2,0,1,0,700001
3,12000,1000,0,1,1,2,0,700001
2,14500,900,1,2,0,2,0,700001
1,6000,700,0,2,1,1,0,700001
2,9500,700,0,2,1,2,0,700001
2,10000,450,1,1,1,2,0,700001
1,3500,120,0,2,1,1,0,700001
2,9000,800,0,1,1,2,0,700001
3,40000,1220,1,2,1,2,0,700001
3,16500,1100,0,2,1,1,0,700001
3,8000,700,1,2,2,2,0,700001
2,12000,800,0,0,1,1,0,700001
2,6500,670,0,2,2,1,0,700001
4,40000,1300,0,2,1,3,0,700001
1,5000,190,0,1,1,1,0,700001
2,9000,700,0,1,1,1,0,700001
1,7000,240,1,2,0,1,0,700001
2,18000,850,1,1,2,1,0,700001
1,9000,950,0,2,1,2,0,700001
1,5500,450,1,0,1,1,0,700001
2,7500,800,1,2,0,1,0,700001
2,4000,600,1,2,1,1,0,700001
3,10500,800,1,2,0,2,0,700001
3,15000,1100,1,2,1,2,0,700001
2,15000,800,1,0,1,1,0,700001
1,50000,2200,0,0,1,3,0,700001
2,12000,950,1,2,0,2,0,700001
2,11000,550,1,2,1,1,0,700001
2,12000,1800,1,2,0,2,0,700001
2,8000,1000,0,0,1,1,0,700001
2,18000,600,0,1,1,2,0,700001
2,8000,750,1,1,1,2,0,700001
2,7000,685,0,2,1,1,1,700001
1,6500,44,1,0,1,1,0,700001
4,13000,1200,1,2,1,1,0,700001
2,9000,500,1,2,0,1,0,700001
4,10000,1110,1,2,1,2,0,700001
2,12000,1000,0,2,1,2,0,700001
2,5000,392,0,2,1,1,0,700001
2,6000,700,0,2,1,1,0,700001
1,5200,750,0,2,1,1,0,700001
3,15000,1500,0,2,2,2,0,700001
2,9000,900,0,2,1,2,0,700001
1,24000,710,0,0,0,1,1,700001
1,5500,400,1,2,1,1,0,700001
1,10000,700,1,2,0,1,0,700001
2,15000,1000,1,1,1,1,0,700001
1,4700,250,0,0,1,1,0,700001
1,5000,500,1,1,1,1,0,700001
2,5000,450,1,1,1,1,0,700001
3,15000,1400,0,2,1,1,0,700001
1,5000,500,1,1,1,1,0,700001
2,6000,700,1,2,1,1,0,700001
3,18000,1200,1,1,1,1,0,700001
2,8000,450,1,2,0,1,0,700001
1,13000,500,1,0,0,1,1,700001
2,7500,400,1,2,1,1,0,700001
3,12000,1000,0,2,1,2,0,700001
2,11000,750,1,2,0,1,0,700001
1,6000,450,0,2,2,1,0,700001
3,20000,1000,1,2,0,2,1,700001
2,7000,500,1,2,0,2,0,700001
4,30000,1600,1,2,0,2,1,700001
2,7500,550,1,2,0,1,0,700001
1,6500,550,0,2,1,2,0,700001
1,3000,200,0,2,1,1,0,700001
2,5200,650,1,2,0,1,0,700001
2,25000,1000,0,0,1,2,0,700001
2,12500,680,1,2,1,2,0,700001
2,8500,720,1,2,1,2,0,700001
2,3500,500,1,2,0,1,0,700001
2,7000,800,0,2,1,1,0,700001
1,3000,160,0,2,1,1,0,700001
2,14000,1200,1,2,1,2,1,700001
1,18000,700,0,0,1,1,0,700001
1,3500,1000,0,1,1,1,0,700001
2,16000,1250,0,2,1,2,1,700001
4,35000,1600,0,2,1,3,0,700001
2,21000,700,0,1,1,1,0,700001
1,4500,450,0,2,1,1,0,700001
2,15000,839,0,1,1,2,0,700001
